Angle,PA,PA_filtered
20.23460410557183,-68.2016721854097,-68.2016721854097
20.5865102639296,,
20.93841642228737,,
21.290322580645142,,
21.642228739002913,,
21.994134897360684,,
22.346041055718455,,
22.697947214076265,,
23.049853372434036,,
23.401759530791807,,
23.753665689149578,,
24.10557184750735,,
24.45747800586512,,
24.80938416422289,,
25.161290322580662,,
25.513196480938433,,
25.865102639296204,,
26.217008797653975,,
26.568914956011746,,
26.920821114369517,,
27.272727272727288,,
27.62463343108506,,
27.97653958944283,,
28.3284457478006,,
28.68035190615837,,
29.032258064516142,,
29.384164222873913,,
29.736070381231684,,
30.087976539589455,,
30.439882697947226,,
30.791788856304997,,
31.143695014662768,,
31.49560117302054,,
31.84750733137831,,
32.19941348973608,53.63869734960958,53.63869734960958
32.55131964809385,,
32.90322580645162,,
33.255131964809394,,
33.607038123167165,,
33.958944281524936,,
34.31085043988271,,
34.66275659824048,,
35.01466275659825,,
35.36656891495602,,
35.71847507331379,,
36.07038123167156,,
36.42228739002933,,
36.7741935483871,,
37.126099706744874,,
37.478005865102645,,
37.829912023460416,,
38.18181818181819,,
38.53372434017596,,
38.88563049853373,,
39.2375366568915,,
39.58944281524927,,
39.94134897360704,,
40.29325513196481,,
40.645161290322584,,
40.997067448680355,,
41.348973607038126,,
41.7008797653959,,
42.05278592375367,,
42.40469208211144,,
42.75659824046921,,
43.10850439882698,,
43.46041055718475,,
43.81231671554252,,
44.16422287390029,,
44.516129032258064,,
44.868035190615835,,
45.219941348973606,,
45.57184750733138,,
45.92375366568915,,
46.27565982404692,-83.92344474904044,-83.92344474904044
46.62756598240469,,
46.97947214076246,,
47.33137829912023,,
47.683284457478,,
48.03519061583577,,
48.387096774193544,,
48.739002932551315,53.76066973303858,53.76066973303858
49.090909090909086,,
49.44281524926686,,
49.79472140762463,,
50.1466275659824,,
50.49853372434017,,
50.85043988269794,,
51.20234604105571,,
51.55425219941348,,
51.906158357771254,,
52.258064516129025,,
52.609970674486796,,
52.96187683284457,,
53.31378299120234,,
53.66568914956011,,
54.01759530791788,,
54.36950146627565,,
54.72140762463342,,
55.07331378299119,,
55.42521994134896,,
55.777126099706734,,
56.129032258064505,,
56.480938416422276,,
56.83284457478005,,
57.18475073313782,-29.845648694069098,-29.845648694069098
57.53665689149559,16.42634392692066,16.42634392692066
57.88856304985336,,
58.24046920821113,,
58.5923753665689,,
58.94428152492667,,
59.296187683284444,,
59.648093841642215,,
59.999999999999986,-26.8590765028617,-26.8590765028617
60.35190615835776,,
60.70381231671553,,
61.0557184750733,,
61.40762463343107,,
61.75953079178884,,
62.11143695014661,,
62.46334310850438,,
62.81524926686215,,
63.167155425219924,,
63.519061583577695,-69.72294682746343,-69.72294682746343
63.870967741935466,,
64.22287390029324,,
64.57478005865102,,
64.92668621700878,,
65.27859237536656,24.052545316113985,24.052545316113985
65.63049853372432,,
65.9824046920821,,
66.33431085043986,,
66.68621700879764,,
67.0381231671554,,
67.39002932551318,,
67.74193548387099,,
68.09384164222875,62.52683792021523,62.52683792021523
68.44574780058653,,
68.7976539589443,,
69.14956011730207,,
69.50146627565984,,
69.85337243401761,,
70.20527859237538,,
70.55718475073316,,
70.90909090909092,,
71.2609970674487,,
71.61290322580646,,
71.96480938416424,,
72.316715542522,,
72.66862170087978,,
73.02052785923755,,
73.37243401759532,,
73.72434017595309,,
74.07624633431087,,
74.42815249266863,,
74.78005865102641,,
75.13196480938417,,
75.48387096774195,,
75.83577712609971,,
76.18768328445749,,
76.53958944281526,,
76.89149560117303,,
77.2434017595308,,
77.59530791788858,,
77.94721407624634,,
78.29912023460412,,
78.65102639296188,,
79.00293255131966,,
79.35483870967742,,
79.7067448680352,,
80.05865102639297,,
80.41055718475074,,
80.76246334310851,,
81.11436950146629,,
81.46627565982405,,
81.81818181818183,,
82.17008797653959,,
82.52199413489737,,
82.87390029325513,,
83.22580645161291,,
83.57771260997067,,
83.92961876832845,,
84.28152492668622,,
84.633431085044,,
84.98533724340176,,
85.33724340175954,,
85.6891495601173,,
86.04105571847508,,
86.39296187683284,,
86.74486803519062,,
87.09677419354838,,
87.44868035190616,,
87.80058651026393,,
88.1524926686217,,
88.50439882697947,,
88.85630498533725,,
89.20821114369501,,
89.56011730205279,,
89.91202346041055,,
90.26392961876833,,
90.6158357771261,,
90.96774193548387,,
91.31964809384164,,
91.67155425219941,,
92.02346041055718,,
92.37536656891496,,
92.72727272727272,38.11464782574258,38.11464782574258
93.0791788856305,,
93.43108504398826,,
93.78299120234604,,
94.1348973607038,,
94.48680351906158,,
94.83870967741935,,
95.19061583577712,,
95.54252199413489,,
95.89442815249267,,
96.24633431085043,,
96.5982404692082,,
96.95014662756597,,
97.30205278592375,,
97.65395894428151,63.96476426329625,63.96476426329625
98.00586510263929,,
98.35777126099705,,
98.70967741935483,,
99.0615835777126,,
99.41348973607037,,
99.76539589442814,,
100.11730205278592,,
100.46920821114368,,
100.82111436950146,,
101.17302052785922,,
101.524926686217,,
101.87683284457476,,
102.22873900293254,,
102.5806451612903,,
102.93255131964808,,
103.28445747800585,,
103.63636363636363,,
103.98826979472139,,
104.34017595307917,,
104.69208211143693,,
105.04398826979471,,
105.39589442815247,,
105.74780058651025,,
106.09970674486802,,
106.4516129032258,,
106.80351906158356,,
107.15542521994134,,
107.5073313782991,,
107.85923753665688,,
108.21114369501464,,
108.56304985337242,,
108.91495601173018,,
109.26686217008796,,
109.61876832844573,,
109.9706744868035,,
110.32258064516127,,
110.67448680351904,,
111.02639296187681,,
111.37829912023459,-48.93752622774967,-48.93752622774967
111.73020527859235,13.942277413642225,13.942277413642225
112.08211143695013,,
112.43401759530789,,
112.78592375366571,,
113.13782991202348,,
113.48973607038126,,
113.84164222873902,,
114.1935483870968,,
114.54545454545456,,
114.89736070381234,,
115.2492668621701,,
115.60117302052788,,
115.95307917888564,,
116.30498533724342,,
116.65689149560119,,
117.00879765395896,,
117.36070381231673,,
117.7126099706745,,
118.06451612903227,,
118.41642228739005,,
118.76832844574781,,
119.12023460410559,,
119.47214076246335,,
119.82404692082113,,
120.1759530791789,,
120.52785923753667,,
120.87976539589444,,
121.23167155425222,,
121.58357771260998,,
121.93548387096776,,
122.28739002932552,,
122.6392961876833,,
122.99120234604106,,
123.34310850439884,,
123.6950146627566,,
124.04692082111438,,
124.39882697947215,,
124.75073313782993,62.6085531002519,62.6085531002519
125.10263929618769,,
125.45454545454547,,
125.80645161290323,,
126.15835777126101,,
126.51026392961877,,
126.86217008797655,,
127.21407624633432,,
127.5659824046921,,
127.91788856304986,,
128.26979472140764,,
128.6217008797654,,
128.97360703812316,,
129.32551319648096,,
129.67741935483872,-86.25918285923909,-86.25918285923909
130.02932551319648,,
130.38123167155425,,
130.73313782991204,,
131.0850439882698,,
131.43695014662757,,
131.78885630498533,,
132.14076246334312,,
132.4926686217009,,
132.84457478005865,,
133.1964809384164,,
133.5483870967742,,
133.90029325513197,,
134.25219941348973,,
134.6041055718475,,
134.9560117302053,,
135.30791788856305,,
135.65982404692082,,
136.01173020527858,,
136.36363636363637,,
136.71554252199414,,
137.0674486803519,,
137.41935483870967,,
137.77126099706746,,
138.12316715542522,,
138.47507331378299,,
138.82697947214075,,
139.17888563049854,,
139.5307917888563,,
139.88269794721407,,
140.23460410557183,,
140.58651026392963,,
140.9384164222874,,
141.29032258064515,,
141.64222873900292,,
141.9941348973607,,
142.34604105571847,,
142.69794721407624,,
143.049853372434,,
143.4017595307918,,
143.75366568914956,,
144.10557184750732,,
144.45747800586508,,
144.80938416422288,,
145.16129032258064,,
145.5131964809384,,
145.86510263929617,,
146.21700879765396,,
146.56891495601172,,
146.9208211143695,,
147.27272727272725,,
147.62463343108504,,
147.9765395894428,,
148.32844574780057,,
148.68035190615834,,
149.03225806451613,,
149.3841642228739,,
149.73607038123166,,
150.08797653958942,,
150.4398826979472,,
150.79178885630498,,
151.14369501466274,,
151.4956011730205,,
151.8475073313783,,
152.19941348973606,,
152.55131964809382,,
152.9032258064516,,
153.25513196480938,,
153.60703812316714,,
153.9589442815249,,
154.31085043988267,,
154.66275659824046,,
155.01466275659823,,
155.366568914956,,
155.71847507331375,,
156.07038123167155,,
156.4222873900293,,
156.77419354838707,,
157.12609970674484,,
157.47800586510263,,
157.82991202346042,,
158.1818181818182,,
158.53372434017598,,
158.88563049853374,,
159.2375366568915,,
159.5894428152493,,
159.94134897360706,,
160.29325513196483,,
160.6451612903226,,
160.99706744868035,,
161.34897360703815,,
161.7008797653959,,
162.05278592375367,,
162.40469208211147,,
162.75659824046923,-69.14975833506368,-69.14975833506368
163.108504398827,-36.5505072924144,-36.5505072924144
163.46041055718476,,
163.81231671554252,,
164.16422287390031,-82.75416543329945,-82.75416543329945
164.51612903225808,,
164.86803519061584,,
165.21994134897363,,
165.5718475073314,,
165.92375366568916,,
166.27565982404693,,
166.6275659824047,-42.410381210965376,-42.410381210965376
166.97947214076248,,
167.33137829912025,,
167.683284457478,,
168.0351906158358,,
168.38709677419357,,
168.73900293255133,,
169.0909090909091,,
169.44281524926686,,
169.79472140762465,,
170.1466275659824,,
170.49853372434018,,
170.85043988269797,,
171.20234604105573,,
171.5542521994135,,
171.90615835777126,,
172.25806451612902,36.13627125224905,36.13627125224905
172.60997067448682,,
172.96187683284458,,
173.31378299120234,,
173.66568914956014,,
174.0175953079179,,
174.36950146627566,,
174.72140762463343,-52.48088479904632,-52.48088479904632
175.0733137829912,,
175.42521994134898,,
175.77712609970675,55.23551909185679,55.23551909185679
176.1290322580645,,
176.4809384164223,,
176.83284457478007,,
177.18475073313783,,
177.5366568914956,,
177.88856304985336,,
178.24046920821115,,
178.59237536656892,,
178.94428152492668,,
179.29618768328447,,
179.64809384164224,,
180.0,,
